Test Date: 
day, month, year, hour, minute, second, milliseconds
26, 4, 2022, 9, 10 , 11 , 334 

Sample:,Hour,Minutes,Seconds,ms,Xa,Ya,Za,qoa,qxa,qya,qza,Xb,Yb,Zb,qob,qxb,qyb,qzb,Xc,Yc,Zc,qoc,qxc,qyc,qzc,Xd,Yd,Zd,qod,qxd,qyd,qzd
1, 9 , 10 , 11, 334,0, 0, 0, 0, 0, 0, 0, 
2, 9 , 10 , 11, 361,0, 0, 0, 0, 0, 0, 0, 
3, 9 , 10 , 11, 385,0, 0, 0, 0, 0, 0, 0, 
4, 9 , 10 , 11, 408,0, 0, 0, 0, 0, 0, 0, 
5, 9 , 10 , 11, 433,0, 0, 0, 0, 0, 0, 0, 
6, 9 , 10 , 11, 458,0, 0, 0, 0, 0, 0, 0, 
7, 9 , 10 , 11, 483,0, 0, 0, 0, 0, 0, 0, 
8, 9 , 10 , 11, 508,64.0400 , 142.7800 , -296.1700, 0.6430 , -0.7327 , 0.0000, 0.2226, 
9, 9 , 10 , 11, 535,63.5700 , 142.1000 , -297.3400, 0.6421 , -0.7339 , -0.0014, 0.2212, 
10, 9 , 10 , 11, 560,63.2600 , 142.2500 , -296.7100, 0.6421 , -0.7333 , -0.0008, 0.2231, 
11, 9 , 10 , 11, 588,63.2200 , 142.2100 , -296.6200, 0.6419 , -0.7333 , -0.0004, 0.2236, 
12, 9 , 10 , 11, 613,63.3300 , 142.3100 , -296.6200, 0.6421 , -0.7333 , -0.0005, 0.2233, 
13, 9 , 10 , 11, 638,63.3100 , 142.2400 , -296.6100, 0.6422 , -0.7333 , -0.0007, 0.2230, 
14, 9 , 10 , 11, 662,63.2300 , 142.1000 , -296.6300, 0.6417 , -0.7335 , 0.0000, 0.2239, 
15, 9 , 10 , 11, 688,63.3300 , 142.1800 , -296.6600, 0.6416 , -0.7334 , 0.0006, 0.2244, 
16, 9 , 10 , 11, 713,63.4200 , 142.2300 , -296.6200, 0.6417 , -0.7334 , 0.0004, 0.2240, 
17, 9 , 10 , 11, 737,63.3700 , 142.1900 , -296.6000, 0.6417 , -0.7334 , 0.0006, 0.2241, 
18, 9 , 10 , 11, 761,63.1800 , 142.1100 , -296.5800, 0.6415 , -0.7334 , 0.0003, 0.2243, 
19, 9 , 10 , 11, 790,63.2400 , 142.1600 , -296.6200, 0.6416 , -0.7334 , 0.0002, 0.2243, 
20, 9 , 10 , 11, 814,63.4600 , 142.2500 , -296.6500, 0.6419 , -0.7333 , 0.0000, 0.2236, 
